7,326
orderNumber int	orderDate string	requiredDate string	shippedDate string	status string	comments string	customerNumber int
10100	6-1-2003 0:00:00	13-1-2003 0:00:00	10-1-2003 0:00:00	Shipped		363
10101	9-1-2003 0:00:00	18-1-2003 0:00:00	11-1-2003 0:00:00	Shipped	Check on availability.	128
10102	10-1-2003 0:00:00	18-1-2003 0:00:00	14-1-2003 0:00:00	Shipped		181
10103	29-1-2003 0:00:00	7-2-2003 0:00:00	2-2-2003 0:00:00	Shipped		121
10104	31-1-2003 0:00:00	9-2-2003 0:00:00	1-2-2003 0:00:00	Shipped		141
10105	11-2-2003 0:00:00	21-2-2003 0:00:00	12-2-2003 0:00:00	Shipped		145
10106	17-2-2003 0:00:00	24-2-2003 0:00:00	21-2-2003 0:00:00	Shipped		278
10107	24-2-2003 0:00:00	3-3-2003 0:00:00	26-2-2003 0:00:00	Shipped	Difficult to negotiate with customer. We need more marketing materials	131
10108	3-3-2003 0:00:00	12-3-2003 0:00:00	8-3-2003 0:00:00	Shipped		385
10109	10-3-2003 0:00:00	19-3-2003 0:00:00	11-3-2003 0:00:00	Shipped	Customer requested that FedEx Ground is used for this shipping	486
10110	18-3-2003 0:00:00	24-3-2003 0:00:00	20-3-2003 0:00:00	Shipped		187
10111	25-3-2003 0:00:00	31-3-2003 0:00:00	30-3-2003 0:00:00	Shipped		129
10112	24-3-2003 0:00:00	3-4-2003 0:00:00	29-3-2003 0:00:00	Shipped	Customer requested that ad materials (such as posters, pamphlets) be included in the shippment	144
10113	26-3-2003 0:00:00	2-4-2003 0:00:00	27-3-2003 0:00:00	Shipped		124
10114	1-4-2003 0:00:00	7-4-2003 0:00:00	2-4-2003 0:00:00	Shipped		172
10115	4-4-2003 0:00:00	12-4-2003 0:00:00	7-4-2003 0:00:00	Shipped		424
10116	11-4-2003 0:00:00	19-4-2003 0:00:00	13-4-2003 0:00:00	Shipped		381
10117	16-4-2003 0:00:00	24-4-2003 0:00:00	17-4-2003 0:00:00	Shipped		148
10118	21-4-2003 0:00:00	29-4-2003 0:00:00	26-4-2003 0:00:00	Shipped	Customer has worked with some of our vendors in the past and is aware of their MSRP	216
10119	28-4-2003 0:00:00	5-5-2003 0:00:00	2-5-2003 0:00:00	Shipped		382
10120	29-4-2003 0:00:00	8-5-2003 0:00:00	1-5-2003 0:00:00	Shipped		114
10121	7-5-2003 0:00:00	13-5-2003 0:00:00	13-5-2003 0:00:00	Shipped		353
10122	8-5-2003 0:00:00	16-5-2003 0:00:00	13-5-2003 0:00:00	Shipped		350
